row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,country,postal_code,market,region,product_id,category,sub-category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority
37088,ca2014140186,2014-09-30,03102014,first class,pg18820,patrick gardner,consumer,bakersfield,california,united states,93309.0,us,west,furch10002961,furniture,chairs,leather task chair black,72.784,1,0.2,0.0,17.92,medium
37104,ca2013149783,2013-09-05,08092013,second class,dl13315,delfina latchford,consumer,knoxville,tennessee,united states,37918.0,us,south,offap10001205,office supplies,appliances,belkin 5 outlet surgemaster power centers,87.168,2,0.2,8.7168,17.92,critical
31451,ca2012124919,2012-05-31,02062012,first class,sp20650,stephanie phelps,corporate,san jose,california,united states,95123.0,us,west,offpa10002254,office supplies,paper,xerox 1883,105.52,4,0.0,48.5392,17.87,high
34249,ca2014134915,2014-11-13,13112014,same day,em14140,eugene moren,home office,glendale,arizona,united states,85301.0,us,west,furfu10000305,furniture,furnishings,tenex v2tre standard weight series chair mat 45 x 53 lip 25 x 12,113.568,2,0.2,-5.6784,17.85,medium
40075,ca2014135377,2014-12-14,19122014,standard class,bp11095,bart pistole,corporate,new york city,new york,united states,10024.0,us,east,furbo10004015,furniture,bookcases,bush andora bookcase maplegraphite gray finish,287.976,3,0.2,7.1994,17.81,medium
33480,ca2013128818,2013-05-08,12052013,standard class,cj12010,caroline jumper,consumer,new york city,new york,united states,10009.0,us,east,tecac10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,199.95,5,0.0,21.9945,17.79,medium
38356,ca2013165330,2013-12-12,12122013,same day,wb21850,william brown,consumer,anaheim,california,united states,92804.0,us,west,offap10001469,office supplies,appliances,fellowes 8 outlet superior workstation surge protector,83.42,2,0.0,24.1918,17.72,critical
41088,ca2011127166,2011-05-21,23052011,second class,kh16360,katherine hughes,consumer,houston,texas,united states,77070.0,us,central,offen10003134,office supplies,envelopes,staples,56.064,6,0.2,21.024,17.72,critical
34729,ca2014148264,2014-12-09,10122014,first class,lf17185,luke foster,consumer,inglewood,california,united states,90301.0,us,west,offpa10003651,office supplies,paper,xerox 1968,60.12,9,0.0,28.8576,17.69,critical
35480,us2014136868,2014-10-07,13102014,standard class,cr12820,cyra reiten,home office,new york city,new york,united states,10035.0,us,east,offst10000991,office supplies,storage,space solutions hd industrial steel shelving,344.91,3,0.0,10.3473,17.69,medium
33881,us2011155502,2011-01-27,01022011,standard class,sd20485,shirley daniels,home office,alexandria,virginia,united states,22304.0,us,south,tecph10002103,technology,phones,jabra speak 410,187.98,2,0.0,52.6344,17.66,medium
33551,ca2012169201,2012-09-28,01102012,first class,hg14965,henry goldwyn,corporate,san francisco,california,united states,94110.0,us,west,offap10002082,office supplies,appliances,holmes hepa air purifier,43.56,2,0.0,15.246,17.63,critical
39493,ca2014102736,2014-09-06,10092014,standard class,lp17095,liz preis,consumer,knoxville,tennessee,united states,37918.0,us,south,tecac10004568,technology,accessories,maxelllto ultrium  800 gb,89.568,4,0.2,-1.1196,17.62,high
31820,us2013139486,2013-05-22,24052013,first class,lh17155,logan haushalter,consumer,los angeles,california,united states,90032.0,us,west,tecph10003555,technology,phones,motorola hk250 universal bluetooth headset,55.176,3,0.2,-12.4146,17.61,high
33946,ca2011131002,2011-09-07,12092011,second class,tb21400,tom boeckenhauer,consumer,tulsa,oklahoma,united states,74133.0,us,central,tecph10000215,technology,phones,plantronics cordlessphone headsetwith inline volume  m214c,104.85,3,0.0,28.3095,17.61,high
34031,ca2012129770,2012-02-21,23022012,second class,je15715,joe elijah,consumer,las cruces,new mexico,united states,88001.0,us,west,offpa10000249,office supplies,paper,staples,49.12,4,0.0,23.0864,17.59,critical
36514,ca2014134635,2014-04-16,18042014,second class,ns18640,noel staavos,corporate,los angeles,california,united states,90049.0,us,west,offpa10002254,office supplies,paper,xerox 1883,79.14,3,0.0,36.4044,17.5,critical
34728,ca2014148264,2014-12-09,10122014,first class,lf17185,luke foster,consumer,inglewood,california,united states,90301.0,us,west,furfu10002703,furniture,furnishings,tenex traditional chairmats for hard floors average lip 36 x 48,128.9,2,0.0,15.468,17.48,critical
39642,us2011155544,2011-03-21,25032011,standard class,gm14440,gary mcgarr,consumer,knoxville,tennessee,united states,37918.0,us,south,furch10000422,furniture,chairs,global highback leather tilter in burgundy,218.376,3,0.2,-10.9188,17.47,high
32068,ca2014104220,2014-01-31,06022014,standard class,bv11245,benjamin venier,corporate,des moines,iowa,united states,50315.0,us,central,tecph10004614,technology,phones,att 841000 phone,207.0,3,0.0,51.75,17.46,low
37523,ca2012133445,2012-10-05,09102012,standard class,jf15490,jeremy farry,consumer,portland,oregon,united states,97206.0,us,west,furch10000422,furniture,chairs,global highback leather tilter in burgundy,291.168,4,0.2,-14.5584,17.42,high
40437,ca2014123029,2014-10-01,03102014,second class,bt11530,bradley talbott,home office,los angeles,california,united states,90049.0,us,west,tecac10002402,technology,accessories,razer kraken pro over ear pc and music headset,159.98,2,0.0,47.994,17.42,high
37435,ca2011131247,2011-03-30,04042011,standard class,ga14725,guy armstrong,consumer,san francisco,california,united states,94110.0,us,west,furbo10001337,furniture,bookcases,osullivan living dimensions 2shelf bookcases,205.666,2,0.15,-12.098,17.41,medium
31970,ca2014130351,2014-12-06,09122014,first class,rb19570,rob beeghly,consumer,columbus,indiana,united states,47201.0,us,central,offap10004532,office supplies,appliances,kensington 6 outlet guardian standard surge protector,61.44,3,0.0,16.5888,17.4,high
31989,ca2012131534,2012-03-28,02042012,standard class,ab10165,alan barnes,consumer,los angeles,california,united states,90036.0,us,west,tecac10002253,technology,accessories,imation bio 8gb usbflash drive imationcorp,166.24,1,0.0,24.936,17.4,medium
39989,ca2013136770,2013-08-15,19082013,standard class,sp20650,stephanie phelps,corporate,akron,ohio,united states,44312.0,us,east,tecac10000420,technology,accessories,logitech g500s laser gaming mouse with adjustable weight tuning,279.96,5,0.2,48.993,17.4,medium
31416,ca2013103730,2013-06-13,16062013,first class,sc20725,steven cartwright,consumer,wilmington,delaware,united states,19805.0,us,east,furfu10002157,furniture,furnishings,artistic instaplaque,47.04,3,0.0,18.3456,17.37,critical
37093,ca2011124856,2011-09-29,03102011,second class,ld17005,lisa decherney,consumer,new york city,new york,united states,10011.0,us,east,furfu10000521,furniture,furnishings,seth thomas 14 puttycolored wall clock,117.36,4,0.0,36.3816,17.32,high
38466,ca2011117464,2011-07-22,24072011,second class,np18325,naresj patel,consumer,san francisco,california,united states,94122.0,us,west,furta10004767,furniture,tables,safco drafting table,170.352,3,0.2,19.1646,17.28,high
38437,ca2014128783,2014-09-08,08092014,same day,tg21640,trudy glocke,consumer,saint charles,missouri,united states,63301.0,us,central,tecac10002473,technology,accessories,maxell 47gb dvdr,113.52,4,0.0,46.5432,17.27,medium
33606,us2014120418,2014-06-12,13062014,first class,bc11125,becky castell,home office,peoria,arizona,united states,85345.0,us,west,offst10002370,office supplies,storage,sortfiler multipurpose personal file organizer black,68.448,4,0.2,7.7004,17.26,critical
34001,ca2014156818,2014-07-12,14072014,second class,jd16015,joy daniels,consumer,new york city,new york,united states,10009.0,us,east,tecac10002323,technology,accessories,sandisk ultra 32 gb microsdhc class 10 memory card,132.6,6,0.0,17.238,17.25,high
34633,us2014109253,2014-08-22,23082014,first class,pr18880,patrick ryan,consumer,oakland,california,united states,94601.0,us,west,furfu10000193,furniture,furnishings,tenex chairmats for use with hard floors,129.92,4,0.0,10.3936,17.25,medium
39901,us2013116365,2013-01-03,08012013,standard class,ca12310,christine abelman,corporate,san antonio,texas,united states,78207.0,us,central,tecac10002942,technology,accessories,wd my passport ultra 1tb portable external hard drive,165.6,3,0.2,-6.21,17.23,medium
34427,ca2011136399,2011-12-16,17122011,first class,cc12100,chad cunningham,home office,los angeles,california,united states,90049.0,us,west,tecac10001142,technology,accessories,first data fd10 pin pad,395.0,5,0.0,39.5,17.2,high
38862,us2013166660,2013-01-30,01022013,second class,tb21250,tim brockman,consumer,seattle,washington,united states,98103.0,us,west,furbo10000468,furniture,bookcases,osullivan 2shelf heavyduty bookcases,48.58,1,0.0,7.7728,17.2,critical
33573,ca2011104283,2011-06-27,01072011,standard class,lm17065,liz mackendrick,consumer,southaven,mississippi,united states,38671.0,us,south,offst10004337,office supplies,storage,safco commercial wire shelving 72h,306.2,5,0.0,0.0,17.15,medium
38514,ca2012150770,2012-05-03,06052012,first class,lc16870,lena cacioppo,consumer,san francisco,california,united states,94109.0,us,west,offbi10002026,office supplies,binders,ibico recycled linenstyle covers,62.496,2,0.2,21.8736,17.15,critical
32544,ca2011168494,2011-12-12,14122011,second class,np18700,nora preis,consumer,fresno,california,united states,93727.0,us,west,furbo10004467,furniture,bookcases,bestar classic bookcase,254.9745,3,0.15,11.9988,17.14,high
33805,ca2014163902,2014-03-03,09032014,standard class,my17380,maribeth yedwab,corporate,los angeles,california,united states,90045.0,us,west,tecph10000675,technology,phones,panasonic kx ts3282b corded phone,196.776,3,0.2,14.7582,17.09,medium
37903,ca2013148852,2013-05-27,01062013,standard class,sv20785,stewart visinsky,consumer,santa ana,california,united states,92704.0,us,west,tecph10003885,technology,phones,cisco spa508g,211.168,4,0.2,23.7564,17.09,medium
35437,ca2014127313,2014-12-02,05122014,first class,ra19285,ralph arnett,consumer,philadelphia,pennsylvania,united states,19120.0,us,east,furfu10003798,furniture,furnishings,ultra door kickplate 8h x 34w,79.12,5,0.2,13.846,17.08,high
40342,ca2014137463,2014-12-17,21122014,second class,km16225,kalyca meade,corporate,sunnyvale,california,united states,94086.0,us,west,tecac10000358,technology,accessories,imationsecuredrive hardware encrypted usbflash drive 16 gb,189.95,5,0.0,45.588,17.06,medium
37452,ca2014151484,2014-04-21,24042014,first class,cv12805,cynthia voltz,corporate,philadelphia,pennsylvania,united states,19120.0,us,east,offst10000142,office supplies,storage,deluxe rollaway locking file with drawer,332.704,1,0.2,33.2704,17.02,medium
37290,ca2013162187,2013-12-12,12122013,same day,ns18640,noel staavos,corporate,columbus,ohio,united states,43229.0,us,east,offst10001558,office supplies,storage,acco perma 4000 stacking storage drawers,64.96,5,0.2,-4.06,16.97,critical
38720,ca2014135069,2014-04-11,15042014,standard class,bs11755,bruce stewart,consumer,philadelphia,pennsylvania,united states,19143.0,us,east,offap10000026,office supplies,appliances,tripp lite isotel 6 outlet surge protector with faxmodem protection,195.104,4,0.2,21.9492,16.96,medium
41206,us2012129007,2012-09-13,15092012,first class,kd16615,ken dana,corporate,anaheim,california,united states,92804.0,us,west,furfu10004018,furniture,furnishings,tensor computer mounted lamp,44.67,3,0.0,12.0609,16.95,critical
32151,ca2013123274,2013-02-19,24022013,standard class,gt14710,greg tran,consumer,new york city,new york,united states,10035.0,us,east,offst10000736,office supplies,storage,carina double wide media storage towers in natural  black,242.94,3,0.0,9.7176,16.91,medium
37415,ca2014143378,2014-09-20,26092014,standard class,jr16210,justin ritter,corporate,springfield,oregon,united states,97477.0,us,west,tecph10001425,technology,phones,mophie juice pack helium for iphone,191.976,3,0.2,19.1976,16.89,medium
39943,ca2013113341,2013-11-26,30112013,standard class,mh17455,mark hamilton,consumer,los angeles,california,united states,90032.0,us,west,furch10004698,furniture,chairs,padded folding chairs black 4carton,194.352,3,0.2,19.4352,16.89,medium
36226,us2011138828,2011-09-02,03092011,first class,kd16345,katherine ducich,consumer,new york city,new york,united states,10009.0,us,east,offar10000658,office supplies,art,newell 324,57.75,5,0.0,16.17,16.87,critical
38340,us2014165358,2014-07-19,24072014,standard class,sv20365,seth vernon,consumer,philadelphia,pennsylvania,united states,19134.0,us,east,furch10002647,furniture,chairs,situations contoured folding chairs 4set,198.744,4,0.3,-14.196,16.87,medium
36012,us2012122910,2012-05-12,16052012,standard class,lt16765,larry tron,consumer,louisville,colorado,united states,80027.0,us,west,tecph10000441,technology,phones,vtech ds6151,201.584,2,0.2,20.1584,16.85,medium
33156,ca2012121608,2012-09-03,05092012,first class,jb15400,jennifer braxton,corporate,bristol,connecticut,united states,6010.0,us,east,tecph10004959,technology,phones,classic ivory antiquetelephonezl1810,100.49,1,0.0,25.1225,16.83,high
32519,ca2013126004,2013-12-05,06122013,first class,bm11140,becky martin,consumer,new york city,new york,united states,10024.0,us,east,furfu10001602,furniture,furnishings,eldon delta triangular chair mat 52 x 58 clear,113.79,3,0.0,20.4822,16.81,high
32855,ca2012112116,2012-03-16,18032012,second class,je15475,jeremy ellison,consumer,seattle,washington,united states,98103.0,us,west,furta10001039,furniture,tables,ki adjustableheight table,171.96,2,0.0,44.7096,16.77,medium
34904,ca2011163559,2011-09-23,28092011,second class,st20530,shui tom,consumer,new york city,new york,united states,10035.0,us,east,offbi10002026,office supplies,binders,avery arch ring binders,139.44,3,0.2,47.061,16.77,medium
38075,us2013147711,2013-09-04,09092013,second class,hf14995,herbert flentye,consumer,baltimore,maryland,united states,21215.0,us,east,furbo10003159,furniture,bookcases,sauder camden county collection libraries planked cherry finish,344.94,3,0.0,31.0446,16.76,medium
37372,ca2014121398,2014-12-26,30122014,standard class,fh14365,fred hopkins,corporate,los angeles,california,united states,90008.0,us,west,offst10002756,office supplies,storage,tennsco sturdstor boltless shelving 5 shelves 24 deep sand,270.62,2,0.0,2.7062,16.73,medium
37906,us2012118906,2012-03-10,10032012,same day,kb16585,ken black,corporate,clinton,maryland,united states,20735.0,us,east,offst10002406,office supplies,storage,pizazz global quick file,89.82,6,0.0,25.1496,16.73,critical
38269,ca2014153822,2014-09-20,26092014,standard class,ab10105,adrian barton,consumer,phoenix,arizona,united states,85023.0,us,west,tecph10002415,technology,phones,polycom voicestation 500 conferencephone,471.92,2,0.2,29.495,16.71,low
32272,us2014103247,2014-10-06,09102014,second class,po19195,phillina ober,home office,new york city,new york,united states,10011.0,us,east,offbi10004492,office supplies,binders,tufvin binders,75.792,3,0.2,25.5798,16.7,critical
36339,ca2013158694,2013-11-11,14112013,second class,ai10855,arianne irving,consumer,los angeles,california,united states,90036.0,us,west,offap10000055,office supplies,appliances,belkin f9s820v06 8 outlet surge,129.92,4,0.0,38.976,16.65,high
41123,us2011164406,2011-08-15,19082011,standard class,bd11605,brian dahlen,consumer,san francisco,california,united states,94122.0,us,west,furch10003833,furniture,chairs,novimex fabric task chair,195.136,4,0.2,-12.196,16.65,high
35290,ca2012161998,2012-05-01,05052012,standard class,db13120,david bremer,corporate,tampa,florida,united states,33614.0,us,south,offar10004022,office supplies,art,panasonic kp380bk classic electric pencil sharpener,172.704,6,0.2,10.794,16.62,medium
40837,ca2012135727,2012-05-11,16052012,second class,ps18970,paul stevenson,home office,phoenix,arizona,united states,85023.0,us,west,furch10004540,furniture,chairs,global chrome stack chair,191.968,7,0.2,16.7972,16.61,medium
34239,ca2014155880,2014-03-26,01042014,standard class,jd16150,justin deggeller,corporate,milwaukee,wisconsin,united states,53209.0,us,central,furch10002880,furniture,chairs,global highback leather tilter burgundy,368.97,3,0.0,40.5867,16.59,medium
39880,ca2011130673,2011-05-20,22052011,second class,mc17590,matt collister,corporate,san marcos,texas,united states,78666.0,us,central,offst10000636,office supplies,storage,rogers profile extra capacity storage tub,66.96,5,0.2,-13.392,16.58,high
31698,ca2013108987,2013-09-09,11092013,second class,ag10675,anna gayman,consumer,houston,texas,united states,77036.0,us,central,tecac10000158,technology,accessories,sony 64gb class 10 micro sdhc r40 memory card,57.584,2,0.2,0.7198,16.53,critical
34753,ca2014136448,2014-09-17,19092014,first class,as10090,adam shillingsburg,consumer,philadelphia,pennsylvania,united states,19143.0,us,east,tecac10001109,technology,accessories,logitech trackman marble mouse,71.976,3,0.2,19.7934,16.53,critical
32004,ca2011112158,2011-12-02,04122011,first class,dp13165,david philippe,consumer,new york city,new york,united states,10035.0,us,east,tecac10003628,technology,accessories,logitech 910002974 m325 wireless mouse for web scrolling,119.96,4,0.0,52.7824,16.5,high
37636,ca2014143112,2014-10-06,10102014,standard class,ts21370,todd sumrall,corporate,new york city,new york,united states,10035.0,us,east,furch10002880,furniture,chairs,global highback leather tilter burgundy,221.382,2,0.1,2.4598,16.47,medium
34142,ca2014138163,2014-11-18,21112014,first class,xp21865,xylona preis,consumer,everett,massachusetts,united states,2149.0,us,east,offar10001958,office supplies,art,stanley bostitch contemporary electric pencil sharpeners,50.94,3,0.0,14.2632,16.45,critical
38319,ca2011124737,2011-08-23,27082011,standard class,ap10915,arthur prichep,consumer,denver,colorado,united states,80219.0,us,west,tecph10000149,technology,phones,cisco spa525g2 ip phone  wireless,143.64,9,0.2,10.773,16.43,medium
36745,us2011119081,2011-09-12,19092011,standard class,ta21385,tom ashbrook,home office,olathe,kansas,united states,66062.0,us,central,offsu10000157,office supplies,supplies,compact automatic electric letter opener,357.93,3,0.0,7.1586,16.38,medium
40224,ca2012143616,2012-09-27,29092012,second class,ss20140,saphhira shifley,corporate,seattle,washington,united states,98103.0,us,west,offar10002067,office supplies,art,newell 334,99.2,5,0.0,25.792,16.36,critical
32818,ca2012144806,2012-12-06,11122012,standard class,gh14425,gary hwang,consumer,tucson,arizona,united states,85705.0,us,west,furfu10002253,furniture,furnishings,howard miller 13 diameter pewter finish round wall clock,206.112,6,0.2,48.9516,16.35,medium
37788,ca2013113845,2013-11-21,26112013,standard class,fa14230,frank atkinson,corporate,orlando,florida,united states,32839.0,us,south,furbo10004695,furniture,bookcases,osullivan 2door barrister bookcase in odessa pine,289.568,2,0.2,10.8588,16.35,medium
33924,us2014165344,2014-11-14,16112014,first class,sb20290,sean braxton,corporate,springfield,ohio,united states,45503.0,us,east,tecac10002399,technology,accessories,sandisk cruzer 32 gb usb flash drive,60.864,4,0.2,9.1296,16.34,medium
39461,ca2012168207,2012-11-02,06112012,standard class,lt17110,liz thompson,consumer,san diego,california,united states,92105.0,us,west,offbi10001524,office supplies,binders,gbc premium transparent covers with diagonal lined pattern,117.488,7,0.2,41.1208,16.34,medium
40069,ca2014115882,2014-09-15,18092014,first class,db13555,dorothy badders,corporate,raleigh,north carolina,united states,27604.0,us,south,offpa10001125,office supplies,paper,xerox 1988,74.352,3,0.2,23.235,16.34,high
34109,ca2012135685,2012-11-16,18112012,second class,mp18175,mike pelletier,home office,milwaukee,wisconsin,united states,53209.0,us,central,furta10001520,furniture,tables,lesro sheffield collection coffee table end table center table corner table,214.11,3,0.0,36.3987,16.33,medium
34403,ca2014127460,2014-07-11,15072014,standard class,fg14260,frank gastineau,home office,aurora,illinois,united states,60505.0,us,central,offst10004340,office supplies,storage,fellowes mobile file cart black,298.464,6,0.2,26.1156,16.31,high
34253,ca2014123638,2014-06-28,05072014,standard class,ma17995,michelle arnett,home office,watertown,new york,united states,13601.0,us,east,furch10002647,furniture,chairs,situations contoured folding chairs 4set,191.646,3,0.1,31.941,16.3,medium
39593,ca2013166380,2013-05-31,04062013,standard class,eb13750,edward becker,corporate,arlington,virginia,united states,22204.0,us,south,tecac10000109,technology,accessories,sony micro vault click 16 gb usb 20 flash drive,111.98,2,0.0,26.8752,16.3,high
33808,ca2012102722,2012-04-18,19042012,first class,kw16570,kelly williams,consumer,monroe,louisiana,united states,71203.0,us,south,tecac10003116,technology,accessories,memorex froggy flash drive 8 gb,106.5,6,0.0,41.535,16.24,high
34605,ca2011104738,2011-12-30,01012012,second class,sp20620,stefania perrino,corporate,laredo,texas,united states,78041.0,us,central,tecac10003628,technology,accessories,logitech 910002974 m325 wireless mouse for web scrolling,47.984,2,0.2,14.3952,16.24,critical
35836,ca2012104129,2012-02-27,02032012,standard class,es14080,erin smith,corporate,providence,rhode island,united states,2908.0,us,east,tecph10003800,technology,phones,isound portable power  8000 mah,105.98,2,0.0,1.0598,16.24,high
34881,ca2012121650,2012-12-10,16122012,standard class,kd16495,keith dawkins,corporate,jackson,michigan,united states,49201.0,us,central,furch10004289,furniture,chairs,global super steno chair,191.96,2,0.0,32.6332,16.23,medium
40357,ca2012136420,2012-11-20,21112012,first class,cs12250,chris selesnick,corporate,san diego,california,united states,92024.0,us,west,offbi10002854,office supplies,binders,performers binderpad holder black,89.696,4,0.2,33.636,16.23,high
